PROF_MERGED_Wavelength (nm),PROF_MERGED_Reflectance (%)
448,47.08
452,48.51
456,49.54
460,49.38
464,49.03
468,49.63
472,51.08
476,52.81
480,54.03
484,55.34
488,56.56
492,56.89
496,57.1
500,56.7
504,56.69
508,58.61
512,59.42
516,59.36
520,59.25
524,59.8
528,60.97
532,61.7
536,62.38
540,63.86
544,64.13
548,64.1
552,64.94
556,65.49
560,65.9
564,65.96
568,66.24
572,67.14
576,67.67
580,67.2
584,67.09
588,66.78
592,65.68
596,66.57
600,67.67
604,67.95
608,67.34
612,66.88
616,67.19
620,67.86
624,68.06
628,67.36
632,66.81
636,66.93
640,67.28
644,67.95
648,67.9
652,68.86
656,68.54
660,68.25
664,68.09
668,67.72
672,67.6
676,67.27
680,67.15
684,67.53
688,67.75
692,67.78
696,67.68
700,66.68
704,65.78
708,66.42
712,66.98
716,66.55
720,65.93
724,66.17
728,66.8
732,66.92
736,66.81
740,66.86
744,66.23
748,66.35
752,66.16
756,65.2
760,64.88
764,64.8
768,64.64
772,64.59
776,64.6
780,64.62
784,63.83
788,62.59
792,61.87
796,61.14
800,60.51
804,59.51
808,58.63
812,57.58
816,57.58
820,57.11
824,55.89
828,55.73
832,55.16
836,53.64
840,53.88
844,53.02
848,52.62
852,53.12
856,51.96
860,51.18
864,51.31
868,50.65
872,49.89
876,48.95
880,48.24
884,47.41
888,45.78
892,45.37
896,45.22
900,44.93
904,44.52
908,43.95
912,43.25
916,42.87
920,42.35
924,41.71
928,41.3
932,40.57
936,39.68
940,38.91
944,38.73
948,38.43
952,38.17
956,37.43
960,37.19
964,37.07
968,36.8
972,36.63
976,36.51
980,36.29
984,35.72
988,35.06
992,34.3
996,34.02
1000,33.72
1004,33.59
1008,33.06
1012,32.8
1016,32.12
1020,31.41
1024,31.12
1028,30.67
1032,30.54
1036,30.68
1040,30.58
1044,30.28
1048,29.6
1052,29.34
1056,29.06
1060,28.92
1064,29.13
1068,29.36
1072,29.52
1076,29.06
1080,28.4
1084,27.96
1088,27.89
1092,28.32
1096,27.8
1100,27.38
1104,27.37
1108,27.44
1112,27.68
1116,28.1
1120,28.11
1124,28.51
1128,28.83
1132,28.53
1136,28.19
1140,27.94
1144,28.2
1148,28.09
1152,27.76
1156,27.7
1160,27.82
1164,27.74
1168,28.13
1172,28.56
1176,28.46
1180,28.68
1184,29.02
1188,29.67
1192,29.88
1196,30.25
1200,30.08
1204,30.55
1208,30.68
1212,30.22
1216,30.37
1220,30.41
1224,30.4
1228,30.71
1232,31.11
1236,31.09
1240,31.05
1244,31.04
1248,30.94
1252,31.16
1256,32.17
1260,32.91
1264,33.08
1268,33.15
1272,33.14
1276,33.45
1280,33.73
1284,34.19
1288,34.15
1292,33.96
1296,34.63
1300,35.43
1304,36.12
1308,37
1312,37.79
1316,38.34
1320,39.28
1324,40.07
1328,40.17
1332,40.33
1336,40.71
1340,40.87
1344,41.9
1348,42.48
1352,42.8
1356,43.39
1360,43.9
1364,43.88
1368,43.93
1372,44
1376,44.4
1380,44.54
1384,44.3
1388,43.2
1392,40.05
1396,35.52
1400,30.86
1404,26.19
1408,23.63
1412,24.21
1416,27.97
1420,33.65
1424,39.24
1428,43.71
1432,47.04
1436,49.29
1440,50.94
1444,52.34
1448,53.81
1452,55.08
1456,56.07
1460,57.29
1464,58.85
1468,60.06
1472,60.6
1476,61.02
1480,61.68
1484,62.49
1488,63.68
1492,64.5
1496,65.71
1500,66.49
1504,67.4
1508,68.69
1512,69.7
1516,70.38
1520,71.14
1524,71.56
