272,247,246,244,263,265,258,262,251,257
263,220,229,216,247,242,216,229,225,231
262,221,230,241,243,239,238,232,227,227
259,222,229,240,239,241,235,229,228,235
259,195,231,239,245,236,232,232,226,230
258,217,230,232,237,239,234,230,215,230
238,197,232,240,244,239,234,231,229,233
257,223,233,233,241,239,231,231,230,231
262,220,225,238,241,242,233,232,228,231
263,221,229,235,242,242,236,230,229,233
261,218,228,244,242,243,232,234,227,233
258,219,230,238,241,238,236,227,224,231
237,217,234,238,242,240,238,229,229,232
258,220,231,240,241,239,237,229,227,231
258,218,227,232,241,239,231,226,227,232
238,215,232,235,239,238,233,233,227,229
259,216,228,239,245,243,236,235,230,231
260,219,228,237,237,236,233,228,232,233
260,218,236,240,244,243,235,229,230,231
261,218,234,242,242,234,234,229,225,231
262,211,235,236,243,241,235,236,229,234
262,220,222,238,242,242,236,230,228,234
255,218,229,235,242,239,236,232,228,230
257,221,231,240,239,242,239,234,221,233
257,219,229,237,242,240,237,234,227,233
260,220,232,237,241,239,235,231,229,232
259,219,232,236,243,243,239,230,231,231
260,220,229,235,241,241,236,232,227,231
259,202,230,235,239,236,238,236,229,233
257,221,229,240,242,244,233,233,229,230
256,221,224,233,238,243,238,230,230,231
259,221,228,233,236,226,232,233,226,231
256,218,231,239,242,238,234,230,229,230
262,218,228,234,240,242,233,234,229,231
258,220,226,239,243,243,237,232,226,232
260,219,229,238,243,239,240,228,227,236
258,219,232,240,241,241,240,234,236,234
257,215,228,235,240,241,235,230,229,234
258,221,231,235,238,242,237,231,225,232
259,222,232,243,245,240,234,229,230,228
261,220,232,239,243,239,237,237,228,233
262,221,230,237,242,240,234,231,226,232
257,223,227,237,242,241,238,227,228,233
256,223,231,240,239,239,235,229,227,221
260,217,234,239,238,240,236,233,227,234
258,220,230,238,243,243,238,230,231,228
261,221,229,235,245,238,235,234,228,231
261,218,233,240,240,237,230,226,231,232
257,221,230,235,243,246,239,234,229,233
261,218,232,236,239,238,234,229,227,228
258,223,227,244,246,237,236,231,229,230
257,215,225,236,238,236,235,228,228,236
263,219,232,239,239,237,237,231,230,228
253,220,227,238,240,247,235,230,228,232
257,221,229,240,241,241,233,232,233,229
256,219,232,240,241,240,235,232,226,229
257,218,227,238,243,238,236,229,224,232
261,222,229,235,240,237,234,232,227,230
255,216,230,242,241,242,233,234,228,231
261,217,233,237,241,237,239,227,227,235
262,220,229,237,241,244,235,232,224,236
256,223,229,238,241,239,235,232,228,234
257,215,226,240,241,241,237,228,229,231
258,218,228,239,232,235,233,227,231,232
256,219,230,235,240,240,235,227,230,232
257,216,228,237,242,240,234,231,231,231
258,214,228,240,242,239,235,229,230,231
258,219,230,234,241,241,234,227,228,230
260,223,232,238,239,244,234,227,233,238
256,223,229,240,240,240,234,231,226,229
255,219,231,231,238,236,232,233,227,231
257,216,229,237,243,240,235,229,228,228
253,215,233,236,243,244,235,233,230,233
257,219,232,239,238,242,236,231,231,235
259,217,230,235,242,237,238,231,219,233
262,220,233,239,245,239,237,230,227,232
258,213,227,237,242,241,231,229,228,234
255,221,231,237,241,233,236,231,228,230
258,221,228,240,242,235,232,231,228,229
260,219,230,238,238,243,236,228,230,227
260,214,229,241,241,239,237,234,227,228
255,220,228,235,240,241,233,228,226,233
259,210,234,238,238,241,231,233,231,229
260,215,231,237,243,238,228,229,229,230
253,221,230,236,231,241,234,230,226,231
259,221,230,234,238,238,237,231,229,229
256,218,231,235,239,241,238,229,226,232
257,221,229,235,240,241,232,228,230,233
254,217,230,231,244,241,232,227,224,232
260,222,230,238,241,242,238,230,228,228
255,219,231,237,239,240,234,231,228,231
256,221,231,237,236,241,233,229,219,235
252,218,231,230,240,238,235,234,227,226
253,215,229,242,237,241,233,228,227,231
256,219,229,234,243,238,234,232,228,232
256,214,226,236,240,239,236,228,226,231
253,216,231,237,240,234,234,228,223,229
256,214,229,232,235,240,235,229,227,230
254,220,225,233,240,243,236,233,224,230
260,215,228,236,241,238,231,228,232,233
253,219,221,235,242,239,234,228,227,230
250,217,223,231,243,236,232,227,229,226
259,218,230,234,244,241,235,232,225,222
257,215,224,235,241,238,234,229,228,232
258,218,229,239,242,243,232,229,228,228
253,217,229,235,235,236,233,230,226,231
259,219,224,237,243,242,236,228,225,223
255,218,231,243,238,240,232,225,224,229
255,219,231,237,234,239,234,233,226,232
254,214,228,235,239,240,233,229,224,230
260,217,228,239,236,241,236,233,228,231
256,219,226,235,241,236,234,232,228,227
257,221,224,236,244,233,232,231,226,231
253,220,229,236,240,238,231,228,226,231
254,220,231,235,239,239,233,229,228,233
256,222,227,234,241,236,235,228,227,227
258,217,229,236,240,240,234,224,224,234
257,214,226,234,243,237,233,229,224,230
257,218,224,234,241,239,235,229,227,229
256,215,228,234,234,237,232,230,225,227
254,223,227,234,241,232,234,228,224,229
254,216,228,235,240,240,232,229,222,231
260,214,224,235,239,237,235,230,225,229
254,219,231,236,241,234,231,228,224,228
250,216,226,236,242,233,235,228,227,226
253,215,230,234,238,234,235,229,230,228
258,212,230,235,238,236,238,227,223,227
258,217,229,236,237,236,233,226,230,230
250,217,227,234,240,235,233,232,225,228
251,217,222,239,239,236,235,230,226,229
256,221,226,232,238,238,235,230,226,231
251,220,226,235,241,238,229,228,222,228
